"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"144","Dallas Goedert (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83.3%"
"145","Pharaoh Brown (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Troy Fumagalli (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Eric Saubert (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Cole Hikutini (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Jacob Hollister (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"150","Mason Schreck (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Cethan Carter (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Mo Alie-Cox (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"153","Darrell Daniels (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Blake Jarwin (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.7%"
"155","Ricky Seals-Jones (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Sean Culkin (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Johnny Mundt (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Jason Croom (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Anthony Firkser (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.2%"
"160","Evan Baylis (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Mike Gesicki (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.4%"
"162","Hayden Hurst (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74.7%"
"163","Daniel Helm (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Nick Keizer (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Nate Wozniak (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Deon Yelder (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Ross Dwelley (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"168","Codey McElroy (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Matt Flanagan (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Will Dissly (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"171","Tanner Hudson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Josiah Deguara (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Jaeden Graham (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Hakeem Butler (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"175","Albert Okwuegbunam (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"176","T.J. Hockenson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.1%"
"177","Kaden Smith (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"178","Tommy Sweeney (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Dalton Schultz (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.4%"
"180","Noah Fant (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74.5%"
"181","Ian Thomas (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.3%"
"182","Jordan Thomas (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Jordan Akins (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.0%"
"184","David Wells (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Marcus Baugh (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Ethan Wolf (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Durham Smythe (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"188","Chris Herndon IV (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.1%"
"189","Ryan Izzo (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"190","Dylan Cantrell (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Tyler Conklin (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Jordan Franks (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Kevin Rader (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Devin Asiasi (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"195","Alex Smith (FA)","0","2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"196","Connor Davis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Paul Quessenberry (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Antony Auclair (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Tyler Simmons (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Tommy Hudson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Rysen John (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Nakia Griffin-Stewart (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Chase Harrell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Nate Wieting (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Farrod Green (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Nick Bowers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Gabe Nabers (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Eli Wolf (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Rashod Berry (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Stephen Sullivan (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Mitchell Wilcox (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Dalton Keene (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Thaddeus Moss (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"215","Kyle Markway (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Jake Burt (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Charlie Taumoepeau (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Charlie Woerner (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Noah Togiai (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Ben Ellefson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Sean McKeon (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Tyler Davis (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Tommy Stevens (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Robert Tonyan (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71.3%"
"228","Jerell Adams (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Konrad Reuland (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"230","Richie Brockel (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"231","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Daniel Hardy (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Bruce Miller (JAC)","10","14","135","13.5","52","2","0","6","14","1","0","16","0.0","0.0","0.0%"
"234","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Anthony McCoy (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"237","John Nalbone (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Richard Gordon (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"239","Mickey Shuler (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"240","Deangelo Peterson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Justice Cunningham (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"242","Brandon Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"243","Logan Thomas (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.5%"
"244","Marcel Jensen (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"245","Xavier Grimble (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Greg Scruggs (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"247","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Kyle Miller (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"249","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","Jake Nordin (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Bear Pascoe (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"255","Buck Ortega (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"256","Clark Harris (CIN)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"257","James Casey (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"258","Mike Leach (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"259","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
