"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"232","Tee Higgins (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75.9%"
"233","Henry Ruggs III (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.6%"
"234","CeeDee Lamb (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.1%"
"235","Jerry Jeudy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.7%"
"236","Reggie Begelton (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","Nsimba Webster (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Bryan Edwards (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"239","Scotty Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.9%"
"240","Olabisi Johnson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"241","Darius Slayton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61.6%"
"242","Quinton Bell (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","Juwann Winfree (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Ishmael Hyman (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Ashton Dulin (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Miles Boykin (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"247","Tyler Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"248","D.K. Metcalf (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.4%"
"249","Chase Claypool (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.1%"
"250","Stanley Morgan Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","KeeSean Johnson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"252","Diontae Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.5%"
"253","Preston Williams (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.5%"
"254","Antoine Wesley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Jakobi Meyers (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43.2%"
"256","Lil'Jordan Humphrey (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Mecole Hardman (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.0%"
"258","John Ursua (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Trenton Irwin (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Malik Henry (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Deonte Harris (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"262","Olamide Zaccheaus (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"263","Malik Taylor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"264","Kabion Ento (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"265","Joe Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"266","Trinity Benson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"267","Tyron Johnson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"268","Jeff Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"269","Penny Hart (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"270","Stephen Carlson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"271","Caleb Scott (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"272","A.J. Brown (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.0%"
"273","Fred Brown (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"274","Lance Lenoir Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"275","Greg Ward (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"276","Cyril Grayson Jr. (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"277","Kendrick Bourne (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5%"
"278","Victor Bolden Jr. (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
