Rank,Player,,Player_Name,Min Pick,Max Pick,% Selected,Position,Team,PositionRank
252,Texans,Houston,Houston Texans,4,456,46,Def,HOU,8
254,Jackson,Justin,Justin Jackson,1,633,50,RB,LAC,59
255,Holyfield,Elijah,Elijah Holyfield,6,947,10,RB,PHI,60
256,Witten,Jason,Jason Witten,1,700,42,TE,DAL,23
257,Gould,Robbie,Robbie Gould,3,1108,49,PK,SFO,6
258,Fairbairn,Ka'imi,Ka'imi Fairbairn,5,1229,56,PK,HOU,7
259,Browns,Cleveland,Cleveland Browns,6,411,47,Def,CLE,9
260,Smith,Ito,Ito Smith,1,631,47,RB,ATL,61
261,Dalton,Andy,Andy Dalton,2,496,24,QB,CIN,31
262,Broncos,Denver,Denver Broncos,7,496,44,Def,DEN,10
263,Williams,Tyrell,Tyrell Williams,3,399,44,WR,OAK,68
264,Goedert,Dallas,Dallas Goedert,2,483,34,TE,PHI,24
265,Saints,New Orleans,New Orleans Saints,4,342,42,Def,NOS,11
266,Hines,Nyheim,Nyheim Hines,1,729,38,RB,IND,62
267,Scarlett,Jordan,Jordan Scarlett,9,918,15,RB,CAR,63
269,Moore,Chris,Chris Moore,1,879,30,WR,BAL,69
270,Hyde,Carlos,Carlos Hyde,1,584,42,RB,HOU,64
271,Seahawks,Seattle,Seattle Seahawks,4,475,35,Def,SEA,12
272,Parker,DeVante,DeVante Parker,2,472,43,WR,MIA,70
273,Homer,Travis,Travis Homer,3,1021,10,RB,SEA,65
274,Mariota,Marcus,Marcus Mariota,3,496,21,QB,TEN,32
277,Chiefs,Kansas City,Kansas City Chiefs,2,351,31,Def,KCC,13
278,Sanu,Mohamed,Mohamed Sanu,1,671,48,WR,NEP,71
281,Crowder,Jamison,Jamison Crowder,2,440,43,WR,NYJ,72
282,Brissett,Jacoby,Jacoby Brissett,1,726,29,QB,IND,33
283,Bryant,Matt,Matt Bryant,7,996,18,PK,FA,8
284,Bills,Buffalo,Buffalo Bills,4,445,26,Def,BUF,14
285,Steelers,Pittsburgh,Pittsburgh Steelers,1,397,27,Def,PIT,15
286,Foreman,D'Onta,D'Onta Foreman,7,842,11,RB,FA,66
287,Cowboys,Dallas,Dallas Cowboys,1,436,33,Def,DAL,16
290,Flacco,Joe,Joe Flacco,3,527,19,QB,DEN,34
291,Johnson,Ty,Ty Johnson,6,838,11,RB,DET,67
292,Eagles,Philadelphia,Philadelphia Eagles,5,359,31,Def,PHI,17
294,Doyle,Jack,Jack Doyle,2,537,34,TE,IND,25
295,Myers,Jason,Jason Myers,5,1235,38,PK,SEA,9
296,Smith,Tre'Quan,Tre'Quan Smith,4,442,32,WR,NOS,73
297,Higdon,Karan,Karan Higdon,13,1042,8,RB,HOU,68
298,Crockett,Damarea,Damarea Crockett,2,985,13,RB,GBP,69
299,Elliott,Jake,Jake Elliott,6,1270,44,PK,PHI,10
301,Prater,Matt,Matt Prater,3,1244,38,PK,DET,11
302,Eifert,Tyler,Tyler Eifert,4,522,33,TE,CIN,26
303,Thompson,Chris,Chris Thompson,2,714,37,RB,WAS,70
