"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"207","Austin Carr (NO)","1","4","9","9.0","9","0","0","0","0","0","0","7","1.4","0.2","0.0%"
"208","Dwayne Harris (CHI)","1","1","7","7.0","7","0","0","0","0","0","0","3","1.2","0.4","0.0%"
"209","Jaleel Scott (NYJ)","1","3","6","6.0","6","0","0","0","0","0","0","3","1.1","0.4","0.0%"
"210","Krishawn Hogan (IND)","1","1","4","4.0","4","0","0","0","0","0","0","8","0.9","0.1","0.0%"
"211","Cyril Grayson Jr. (TB)","1","1","3","3.0","3","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"212","De'Mornay Pierson-El (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Cam Phillips (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Saeed Blacknall (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Caleb Scott (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Cam Batson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Rico Gafford (LV)","2","2","66","33.0","49","1","1","0","0","0","0","4","0.0","0.0","0.0%"
"218","Janarion Grant (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"219","Devin Ross (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Shawn Poindexter (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Tyler Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"222","Chase Claypool (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.4%"
"223","Antoine Wesley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Lil'Jordan Humphrey (NO)","0","1","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"225","David Sills V (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Gary Jennings Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"227","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Jon'Vea Johnson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Bryan Edwards (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"230","Trinity Benson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Tyron Johnson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Penny Hart (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Juwann Winfree (GB)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"234","Stephen Carlson (CLE)","5","7","51","10.2","21","1","1","0","0","0","0","9","0.0","0.0","0.0%"
"235","Trenton Irwin (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"236","Quinton Bell (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","Davion Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"238","Travis Fulgham (PHI)","0","3","0","0","0","0","0","0","0","0","0","3","0.0","0.0","49.9%"
"239","Collin Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"240","Anthony Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Hakeem Butler (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"242","Shaq Roland (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","Emanuel Hall (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Jalen Hurd (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"245","Terry Godwin (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","A.J. Richardson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Marcus Kemp (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"248","Chris Thompson (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","Riley McCarron (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
